time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-08-27,101,1,,service,laser,co2,Laser Co2 - Rejuvenecimiento,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,-1,5500.00,4000.00,3200,-1,-1,-1
2019-08-27,101,2,,service,laser,co2,Laser Co2 - Rejuvenecimiento,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,-1,6500,5000,4000,-1,-1,-1
2019-08-27,101,3,,service,laser,co2,Laser Co2 - Rejuvenecimiento,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,-1,7500,6000,4800,-1,-1,-1
2019-08-27,101,4,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 1,1 sesion,-1,5500,4000,3200,-1,-1,-1
2019-08-27,101,5,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 2,1 sesion,-1,6500,5000,4000,-1,-1,-1
2019-08-27,101,6,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 3,1 sesion,-1,7500,6000,4800,-1,-1,-1
2019-08-27,101,7,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 1,1 sesion,-1,5500,4000,3200,-1,-1,-1
2019-08-27,101,8,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 2,1 sesion,-1,6500,5000,4000,-1,-1,-1
2019-08-27,101,9,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 3,1 sesion,-1,7500,6000,4800,-1,-1,-1
2019-08-27,101,10,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 1,1 sesion,-1,3500,2500,2000,-1,-1,-1
2019-08-27,101,11,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 2,1 sesion,-1,4000,3000,2400,-1,-1,-1
2019-08-27,101,12,,service,laser,co2,Laser Co2 - Acne y Secuelas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 3,1 sesion,-1,4500,3500,2800,-1,-1,-1
2019-08-27,101,13,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 1,1 sesion,-1,3500,2500,2000,-1,-1,-1
2019-08-27,101,14,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 2,1 sesion,-1,4000,3000,2400,-1,-1,-1
2019-08-27,101,15,,service,laser,co2,Laser Co2 - Manchas,Laser Co2, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 3,1 sesion,-1,4500,3500,2800,-1,-1,-1
2019-08-27,101,16,,service,laser,co2,Laser Co2 - Rejuvenecimiento,Laser Co2, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,2000,-1,-1,-1
