time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-21,106,1,,service,cosmetology,cosmetology,Punta Diamantes - Limpieza profunda,Punta Diamantes, - ,PUNTA DE DIAMANTES - Rostro - Limpieza profunda - 1 sesion - 30 min,PUNTA DE DIAMANTES,Rostro,Limpieza profunda,-1,1 sesion,30 min,300,200,160,-1,-1,-1
2019-04-21,106,2,,service,cosmetology,cosmetology,Punta Diamantes - Limpieza profunda,Punta Diamantes, - ,PUNTA DE DIAMANTES - Rostro - Limpieza profunda - 6 sesiones - 30 min,PUNTA DE DIAMANTES,Rostro,Limpieza profunda,-1,6 sesiones,30 min,1200,900,720,-1,-1,-1
2019-04-21,106,3,,service,cosmetology,cosmetology,Carboxiterapia - Rejuvenecimiento,Carboxiterapia, - ,CARBOXITERAPIA - Rostro - Rejuvenecimiento - 1 sesion - 30 min,CARBOXITERAPIA,Rostro,Rejuvenecimiento,-1,1 sesion,30 min,300,200,160,-1,-1,-1
2019-04-21,106,4,,service,cosmetology,cosmetology,Carboxiterapia - Rejuvenecimiento,Carboxiterapia, - ,CARBOXITERAPIA - Rostro - Rejuvenecimiento - 6 sesiones - 30 min,CARBOXITERAPIA,Rostro,Rejuvenecimiento,-1,6 sesiones,30 min,1200,900,720,-1,-1,-1
2019-04-21,106,5,,service,cosmetology,cosmetology,Carboxiterapia - Rejuvenecimiento,Carboxiterapia, - ,CARBOXITERAPIA - Cuerpo - Rejuvenecimiento - 1 sesion - 30 min,CARBOXITERAPIA,Cuerpo,Rejuvenecimiento,-1,1 sesion,30 min,300,200,160,-1,-1,-1
2019-04-21,106,6,,service,cosmetology,cosmetology,Carboxiterapia - Rejuvenecimiento,Carboxiterapia, - ,CARBOXITERAPIA - Cuerpo - Rejuvenecimiento - 6 sesiones - 30 min,CARBOXITERAPIA,Cuerpo,Rejuvenecimiento,-1,6 sesiones,30 min,1200,900,720,-1,-1,-1
2019-04-21,106,7,,service,cosmetology,cosmetology,Laser Triactive - Reafirmacion,Laser Triactive, - ,LASER TRIACTIVE + CARBOXITERAPIA - Rostro + Papada + Cuello - Reafirmacion - 10 sesiones - 30 min,LASER TRIACTIVE + CARBOXITERAPIA,Rostro + Papada + Cuello,Reafirmacion,-1,10 sesiones,30 min,3000,1700,1360,-1,-1,-1
