time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,101,25,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,26,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,27,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,28,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,29,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,30,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,31,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,32,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,33,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,34,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,35,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,36,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,37,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,38,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,39,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,40,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,41,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,42,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,43,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,44,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,45,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,46,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,47,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,48,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,49,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,50,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,51,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,52,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,53,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,54,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,55,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,56,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,57,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 1,1 sesion,-1,4000.0,3000.0,2400,-1.0,-1,-1
2019-04-22,101,58,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 2,1 sesion,-1,4500.0,3500.0,2800,-1.0,-1,-1
2019-04-22,101,59,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 3,1 sesion,-1,5000.0,4000.0,3200,-1.0,-1,-1
2019-04-22,101,60,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 4,1 sesion,-1,6000.0,5000.0,4000,-1.0,-1,-1
2019-04-22,101,61,,service,laser,co2,Laser Co2 - Acne y Secuelas,LASER CO2 FRACCIONAL - Localizado Cuerpo - Acne y Secuelas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Acne y Secuelas,Grado 5,1 sesion,-1,6500.0,5500.0,4400,-1.0,-1,-1
2019-04-22,101,62,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,63,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,64,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,65,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,66,,service,laser,co2,Laser Co2 - Queratosis,LASER CO2 FRACCIONAL - Localizado Cuerpo - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Queratosis,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,67,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,68,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,69,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,70,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,71,,service,laser,co2,Laser Co2 - Lunar,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,72,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,73,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,74,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,75,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,76,,service,laser,co2,Laser Co2 - Quiste,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,77,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,78,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,79,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,80,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,81,,service,laser,co2,Laser Co2 - Verruga,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,82,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,83,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,84,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
2019-04-22,101,85,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 4,1 sesion,-1,2500.0,2000.0,1600,-1.0,-1,-1
2019-04-22,101,86,,service,laser,co2,Laser Co2 - Cicatriz,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 5,1 sesion,-1,3000.0,2500.0,2000,-1.0,-1,-1
2019-04-22,104,1,,service,laser,quick,QuickLaser - Rejuvenecimiento,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,-1,5000.0,3500.0,5200,-1.0,1500,6500
2019-04-22,104,2,,service,laser,quick,QuickLaser - Rejuvenecimiento,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,-1,6000.0,4500.0,5600,-1.0,1250,7000
2019-04-22,104,3,,service,laser,quick,QuickLaser - Rejuvenecimiento,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,-1,6500.0,5000.0,6000,-1.0,1250,7500
2019-04-22,104,4,,service,laser,quick,QuickLaser - Manchas,QUICKLASER - Todo Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 1,1 sesion,-1,5000.0,3500.0,5200,-1.0,1500,6500
2019-04-22,104,5,,service,laser,quick,QuickLaser - Manchas,QUICKLASER - Todo Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 2,1 sesion,-1,6000.0,4500.0,5600,-1.0,1250,7000
