time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-21,103,21,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pies - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Pies,Depilacion,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-21,103,22,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Rostro - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Rostro,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,23,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Cuello - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Cuello,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,24,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Ariolas - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Ariolas,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,25,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Axilas - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Axilas,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,26,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pecho - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Pecho,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,27,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Abdomen - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Abdomen,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,28,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Espalda - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Espalda,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,29,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Hombros - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Hombros,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,30,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Manos - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Manos,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,31,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pies - Depilacion - 1 sesion - 15 min,LASER M22 IPL,Pies,Depilacion,-1,1 sesion,15 min,500,600,480,-1,-1,-1
2019-04-21,103,32,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Rostro - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Rostro,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,33,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Cuello - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Cuello,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,34,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Ariolas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Ariolas,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,35,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Axilas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Axilas,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,36,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pecho - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Pecho,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,37,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Abdomen - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Abdomen,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,38,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Brazos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Brazos,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,39,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Espalda - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Espalda,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,40,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Gluteos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Gluteos,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,41,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Hombros - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Hombros,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,42,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Manos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Manos,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,43,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Piernas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Piernas,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,44,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pies - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Pies,Depilacion,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-21,103,45,,service,laser,m22,Laser M22 - Rosacea,Laser M22, - ,LASER M22 IPL - Rostro - Rosacea - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Rosacea,-1,6 sesiones,30 min,6000,5000,4000,-1,-1,-1
2019-04-21,103,46,,service,laser,m22,Laser M22 - Manchas,Laser M22, - ,LASER M22 IPL - Rostro - Manchas - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Manchas,-1,6 sesiones,30 min,6000,5000,4000,-1,-1,-1
2019-04-21,103,47,,service,laser,m22,Laser M22 - Varices,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Varices - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Varices,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,48,,service,laser,m22,Laser M22 - Telangectacias,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Telangectacias - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Telangectacias,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
