time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,102,21,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,22,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,23,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,24,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,25,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Piernas,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,26,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 15 min,LASER EXCILITE,Pies,Vitiligo,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,27,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Rostro - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Rostro,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,28,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Cuello - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Cuello,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,29,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Ariolas - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Ariolas,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,30,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Axilas - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Axilas,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,31,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pecho - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Pecho,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,32,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Abdomen - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Abdomen,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,33,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Brazos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Brazos,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,34,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,35,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,36,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,37,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,38,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Piernas,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,39,,service,laser,excilite,Laser Excilite - Vitiligo,Laser Excilite, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Pies,Vitiligo,-1,1 sesion,30 min,1200,1000,800,-1,-1,-1
2019-04-22,102,40,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Rostro,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
